id_obligor,rating,pd,default
OB12132,B2,0.06,0
OB05654,A3,0.02,0
OB11343,B2,0.06,0
OB09805,B1,0.035,0
OB15156,C1,0.16,0
OB12356,B2,0.06,0
OB01542,A1,0.005,0
OB07850,B1,0.035,0
OB08469,B1,0.035,0
OB05509,A3,0.02,0
OB12231,B2,0.06,0
OB10429,B2,0.06,0
OB11660,B2,0.06,0
OB06574,A3,0.02,1
OB08880,B1,0.035,0
OB03313,A2,0.01,0
OB14535,C1,0.16,0
OB14893,C1,0.16,0
OB07031,A3,0.02,1
OB14056,B3,0.1,0
OB12905,B2,0.06,0
OB02159,A2,0.01,0
OB00325,A1,0.005,0
OB10816,B2,0.06,0
OB00471,A1,0.005,0
OB04531,A3,0.02,0
OB15992,C3,0.38,0
OB06820,A3,0.02,0
OB01715,A1,0.005,0
OB08970,B1,0.035,0
OB01035,A1,0.005,0
OB11315,B2,0.06,0
OB15741,C2,0.25,0
OB08800,B1,0.035,0
OB10499,B2,0.06,0
OB05198,A3,0.02,0
OB08040,B1,0.035,0
OB13515,B3,0.1,0
OB14740,C1,0.16,0
OB05426,A3,0.02,0
OB08480,B1,0.035,0
OB11773,B2,0.06,0
OB07743,B1,0.035,0
OB01645,A1,0.005,0
OB03248,A2,0.01,0
OB10133,B1,0.035,0
OB10366,B1,0.035,0
OB13188,B3,0.1,0
OB10537,B2,0.06,0
OB15308,C1,0.16,0
OB02889,A2,0.01,0
OB10070,B1,0.035,1
OB08317,B1,0.035,0
OB07103,A3,0.02,0
OB11575,B2,0.06,1
OB08190,B1,0.035,0
OB05810,A3,0.02,0
OB00287,A1,0.005,0
OB10743,B2,0.06,0
OB04355,A3,0.02,0
OB01611,A1,0.005,0
OB14373,B3,0.1,0
OB15377,C1,0.16,0
OB13954,B3,0.1,1
OB05551,A3,0.02,0
OB14131,B3,0.1,0
OB06140,A3,0.02,0
OB04281,A3,0.02,0
OB07391,B1,0.035,0
OB11586,B2,0.06,1
OB05816,A3,0.02,0
OB06296,A3,0.02,0
OB14085,B3,0.1,0
OB04598,A3,0.02,0
OB10323,B1,0.035,0
OB05801,A3,0.02,0
OB09958,B1,0.035,0
OB00307,A1,0.005,0
OB01118,A1,0.005,0
OB02392,A2,0.01,0
OB12445,B2,0.06,0
OB14171,B3,0.1,0
OB09139,B1,0.035,0
OB09210,B1,0.035,0
OB01278,A1,0.005,0
OB12394,B2,0.06,0
OB00574,A1,0.005,0
OB14728,C1,0.16,0
OB03181,A2,0.01,0
OB08827,B1,0.035,0
OB07704,B1,0.035,0
OB04372,A3,0.02,0
OB10085,B1,0.035,0
OB14368,B3,0.1,0
OB13974,B3,0.1,0
OB07481,B1,0.035,0
OB01298,A1,0.005,0
OB15106,C1,0.16,1
OB02363,A2,0.01,0
OB04127,A2,0.01,0
OB09764,B1,0.035,0
OB05584,A3,0.02,0
OB00289,A1,0.005,0
OB14796,C1,0.16,0
OB01437,A1,0.005,0
OB14711,C1,0.16,0
OB05167,A3,0.02,0
OB09214,B1,0.035,0
OB00232,A1,0.005,0
OB14625,C1,0.16,0
OB01252,A1,0.005,0
OB08706,B1,0.035,0
OB01854,A2,0.01,0
OB14371,B3,0.1,0
OB14934,C1,0.16,0
OB05322,A3,0.02,0
OB03187,A2,0.01,0
OB08392,B1,0.035,0
OB00308,A1,0.005,0
OB10654,B2,0.06,0
OB12180,B2,0.06,0
OB03553,A2,0.01,0
OB13338,B3,0.1,1
OB09965,B1,0.035,0
OB11246,B2,0.06,0
OB08213,B1,0.035,0
OB12055,B2,0.06,0
OB04287,A3,0.02,0
OB02914,A2,0.01,0
OB02582,A2,0.01,0
OB16074,C3,0.38,0
OB06411,A3,0.02,0
OB03774,A2,0.01,0
OB11089,B2,0.06,0
OB03005,A2,0.01,0
OB15445,C2,0.25,0
OB14662,C1,0.16,0
OB02698,A2,0.01,0
OB03662,A2,0.01,0
OB02763,A2,0.01,0
OB08078,B1,0.035,0
OB15534,C2,0.25,0
OB00898,A1,0.005,0
OB07728,B1,0.035,0
OB06652,A3,0.02,0
OB07963,B1,0.035,0
OB13227,B3,0.1,0
OB05232,A3,0.02,0
OB02895,A2,0.01,0
